Model Category,Display Name,Asset tag,Fixed Asset Number,Location Name,PO number,Supplier,Status,Substate,Purchase date,Receipt date,Warranty end date,Retired date,Scheduled retirement,Management
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-38AL6QR,60010003121,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In stock,available,2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-4JPA8CH,60010003102,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In stock,available,2022-12-28 00:00:00,2025-02-13 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-86MQ1QQ,60010003066,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In stock,available,2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-87HNBOO,60010003124,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In stock,available,2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,0 - UNMANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-8C89HZ9,60010003084,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In stock,defective,2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,0 - UNMANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-RL811RE,60010003065,BD PL Sreepur/BD PL SREEPUR B1 F00 Canteen Area,4556977474,Thakral Infromation Systems,In stock,defective,2022-12-28 00:00:00,2025-01-06 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,0 - UNMANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-T5F95JI,60010003056,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In stock,defective,2022-12-28 00:00:00,2023-02-19 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-W4Z77JD,60010003071,BD PL Sreepur/BD PL SREEPUR B1 F00 Canteen Area,4556977474,Thakral Infromation Systems,In stock,pending_repair,2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-0HSC00X,60010003106,BD PL Sreepur/BD PL SREEPUR B1 F00 ZL AREA,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2024-09-04 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-18I00MM,60010003074,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-1TF2CYW,60010003049,BD PL Sreepur/BD PL SREEPUR B1 F00 NOODLES PRODUCTION OFFICE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2024-12-02 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-2DYFW0U,60010003116,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-2J0TEO3,60010003064,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-4NLV4HE,60010003086,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-51W3HBC,60010003113,BD PL Sreepur/BD PL SREEPUR B1 F00 APPLICATION GROUP,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-5A57AXH,60010003055,BD PL Sreepur/BD PL SREEPUR B1 F00  PRODUCTION,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-5DXI7OS,60010003058,BD HO Dhaka/5004679 LEVEL-5,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-5E0IIRR,60010003079,BD PL Sreepur/BD PL SREEPUR B1 F00 APPLICATION GROUP,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-5OF8B53,60010003108,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-6FG1KY2,60010003127,BD PL Sreepur/BD PL SREEPUR B1 F00 PPP PLANT,4556977474,Thakral Infromation Systems,In use,shared,2022-12-28 00:00:00,2024-09-04 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-6N5718O,60010003068,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-6Y0OP5E,60010003072,BD PL Sreepur/BD PL SREEPUR B1 F00 ENGINEERING,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2025-05-17 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-7BAM2GV,60010003085,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-7EDV5EF,60010003119,BD PL Sreepur/SREEPUR FACTORY IF BULK PLANT,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-7PJ96TF,60010003098,BD PL Sreepur/BD PL SREEPUR B1 F00 NN Office,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-7Q95S1I,60010003067,BD PL Sreepur/BD PL SREEPUR B1 F00 ENGINEERING,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-7V06E2S,60010003125,BD PL Sreepur/BD PL SREEPUR B1 F00 NN Office,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-80ZPKR7,60010003114,BD PL Sreepur/BD PL SREEPUR B1 F00 SUPPLY CHAIN,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-85ETVK1,60010003083,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,pending_return,2022-12-28 00:00:00,2025-03-17 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-8JQC9MG,60010003093,BD HO Dhaka/5004679 LEVEL-5,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-8XK9J6X,60010003130,BD PL Sreepur/BD PL SREEPUR B1 F00 APPLICATION GROUP,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2024-08-01 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-91HOPAC,60010003091,BD PL Sreepur/BD PL SREEPUR B1 F00 APPLICATION GROUP,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-9NLZ4VY,60010003104,BD DC Gazipur/BD DC GAZIPUR B1 F00 SUPPLY CHAIN,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-A8OBJ8Q,60010003090,BD HO Dhaka/5004679 LEVEL-5,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2024-07-29 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-AE6UX53,60010003053,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2025-05-09 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-ALZ8MK4,60010003126,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2025-02-03 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-AP6MQ1V,60010003051,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2023-02-20 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-AYBPA17,60010003105,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-BV770JK,60010003123,BD PL Sreepur/BD PL SREEPUR B1 F00 NOODLES LINE AREA,4556977474,Thakral Infromation Systems,In use,shared,2022-12-28 00:00:00,2024-08-01 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-CE589J4,60010003070,BD DC Gazipur/BD DC GAZIPUR B1 F00 SUPPLY CHAIN,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-CN3C9U4,60010003092,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2024-09-02 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-DAD3ER6,60010003054,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-DG7SOG8,60010003128,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2024-12-24 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-E3JTY9K,60010003122,BD HO Dhaka/5004679 LEVEL-5,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-E56HIUL,60010003099,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-E96DXXL,60010003078,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-EELQ89Q,60010003109,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-F4UULU8,60010003111,BD PL Sreepur/BD PL SREEPUR B1 F00 ENGINEERING,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2024-10-26 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-F8HCX36,60010003059,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2025-01-28 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-GI9B01O,60010003107,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-H6LG3E2,60010003075,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2024-11-25 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-HUTX9I5,60010003062,BD HO Dhaka/5004679 LEVEL-5,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-I49NGRU,60010003096,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-II7O8SX,60010003103,BD HO Dhaka/5004679 LEVEL-5,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-J0DRY3U,60010003082,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2024-08-19 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-J24KH0P,60010003115,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-L077D08,60010003087,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2025-01-09 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-L8VCK5W,60010003046,BD DC Gazipur,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-LP2YH64,60010003101,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-PPLV25Q,60010003052,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2025-06-02 00:00:00,2025-12-27 00:00:00,,,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-Q2U3T6O,60010003047,BD DC Gazipur/BD DC GAZIPUR B1 F00 SUPPLY CHAIN,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2024-10-26 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-QYD4QJ5,60010003073,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-R1KD4HB,60010003061,BD HO Dhaka/5004679 LEVEL-5,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2024-11-17 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-RP9UTW8,60010003117,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-S71HS21,60010003048,BD HO Dhaka/5004679 LEVEL-5,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-SDS03H4,60010003050,BD HO Dhaka/5004679 LEVEL-5,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-SQBA59Z,60010003131,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2025-08-18 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-SYS3ZA5,60010003063,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-SZ8KHI6,60010003129,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-U347U74,60010003057,BD HO Dhaka/5004679 LEVEL-5,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-U7S0EWU,60010003094,BD HO Dhaka/5004679 LEVEL-5,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-VF505WT,60010003088,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2024-11-04 00:00:00,2025-12-27 00:00:00,,2026-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-VGV76UI,60010003100,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-VI3BPT9,60010003120,BD PL Sreepur/BD PL SREEPUR B1 F00  PRODUCTION,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-VP28PWJ,60010003089,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-VPC8B2A,60010003076,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-WW90PUE,60010003112,BD HO Dhaka/5004679 LEVEL-5,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-X7K77XY,60010003118,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,2025-06-05 00:00:00,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-X86UMMD,60010003097,BD HO Dhaka/BD REMOTE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-Y5K76AJ,60010003080,BD PL Sreepur/BD PL SREEPUR B1 F00  PRODUCTION,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-Y9N2MYI,60010003077,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
